2017-11-03 17:46:48 {"return_code":"SUCCESS","trade_state":"WAIT_BUYER_PAY","trade_type":"MICROPAY","out_trade_no":"2017110317464723223","total_fee":"2530","openid":"137****6154","attach":[],"sign":"C4229EAB30A0F8B4019E2DA07EE7F8C3","out_transaction_id":"2017110321001004915283824822","transaction_id":"3100005500184150970240700000002","buyer_id":"2088322016652915","result_code":"SUCCESS","time_end":[],"mch_id":"100005500184","nonce_str":"718694f62a254bd7d774b46682ba61b2"}
2017-11-03 17:46:52 {"return_code":"SUCCESS","mch_id":"100005500184","buyer_id":"2088322016652915","out_trade_no":"2017110317464723223","trade_state":"WAIT_BUYER_PAY","out_transaction_id":"2017110321001004915283824822","transaction_id":"3100005500184150970240700000002","total_fee":"2530","openid":"137****6154","time_end":[],"trade_type":"MICROPAY","attach":[],"result_code":"SUCCESS","nonce_str":"bad85c197a2cdc3fdcbfcd596282e252","sign":"1F8BFAC1D89488EEEF6CDBF8C430A5E9"}
2017-11-03 17:46:57 {"trade_type":"MICROPAY","mch_id":"100005500184","openid":"137****6154","out_transaction_id":"2017110321001004915283824822","transaction_id":"3100005500184150970240700000002","buyer_id":"2088322016652915","time_end":[],"sign":"DC33AC868353444F00E7B20C2E2C3077","trade_state":"WAIT_BUYER_PAY","return_code":"SUCCESS","result_code":"SUCCESS","nonce_str":"ced6a9eba70592a7a3623b3517306d58","out_trade_no":"2017110317464723223","attach":[],"total_fee":"2530"}
2017-11-03 17:47:01 {"return_code":"SUCCESS","transaction_id":"3100005500184150970240700000002","attach":[],"sign":"311EDFD17A7957965DFBDD684DC63933","result_code":"SUCCESS","total_fee":"2530","openid":"137****6154","time_end":[],"trade_type":"MICROPAY","nonce_str":"8236e2dfcb80317d2f3325c138dce844","mch_id":"100005500184","out_trade_no":"2017110317464723223","trade_state":"WAIT_BUYER_PAY","out_transaction_id":"2017110321001004915283824822","buyer_id":"2088322016652915"}
2017-11-03 17:47:05 {"mch_id":"100005500184","out_trade_no":"2017110317464723223","nonce_str":"c1b969a3dc569afb23133d58480325d9","trade_state":"WAIT_BUYER_PAY","time_end":[],"result_code":"SUCCESS","return_code":"SUCCESS","out_transaction_id":"2017110321001004915283824822","total_fee":"2530","transaction_id":"3100005500184150970240700000002","openid":"137****6154","buyer_id":"2088322016652915","trade_type":"MICROPAY","attach":[],"sign":"034A6FA7B44B4FC6A0FD39ACB6A3014D"}
2017-11-03 17:47:09 {"mch_id":"100005500184","trade_state":"WAIT_BUYER_PAY","transaction_id":"3100005500184150970240700000002","time_end":[],"attach":[],"return_code":"SUCCESS","out_trade_no":"2017110317464723223","out_transaction_id":"2017110321001004915283824822","total_fee":"2530","sign":"FD331970C6095A960EBC2A2086A0F09E","result_code":"SUCCESS","nonce_str":"afc35318cb2ac8682ccf73b71103b903","openid":"137****6154","buyer_id":"2088322016652915","trade_type":"MICROPAY"}
2017-11-03 17:47:16 {"trade_state":"WAIT_BUYER_PAY","transaction_id":"3100005500184150970243500000003","total_fee":"2530","attach":[],"mch_id":"100005500184","nonce_str":"9d4207c6816e3e67b792ce335cbdedf5","return_code":"SUCCESS","out_trade_no":"2017110317471550736","out_transaction_id":"2017110321001004915284571942","buyer_id":"2088322016652915","trade_type":"MICROPAY","time_end":[],"result_code":"SUCCESS","sign":"F5EFA5EB14FBACD2FEDA9880B51D55D0","openid":"137****6154"}
2017-11-03 17:47:20 {"nonce_str":"97342e4298d65ba7da47410b1c1c21ab","transaction_id":"3100005500184150970243500000003","sign":"3169F13797D588C6C45DB51FFA040468","out_trade_no":"2017110317471550736","trade_state":"WAIT_BUYER_PAY","total_fee":"2530","attach":[],"mch_id":"100005500184","trade_type":"MICROPAY","return_code":"SUCCESS","result_code":"SUCCESS","out_transaction_id":"2017110321001004915284571942","openid":"137****6154","buyer_id":"2088322016652915","time_end":[]}
2017-11-03 17:47:25 {"transaction_id":"3100005500184150970243500000003","mch_id":"100005500184","return_code":"SUCCESS","openid":"137****6154","buyer_id":"2088322016652915","time_end":[],"result_code":"SUCCESS","nonce_str":"13365e4c408c6c630fbb5f7d8190c6b3","out_trade_no":"2017110317471550736","trade_state":"WAIT_BUYER_PAY","trade_type":"MICROPAY","out_transaction_id":"2017110321001004915284571942","total_fee":"2530","attach":[],"sign":"B03711B34BE43B59EB87F1BDEBDE62BE"}
2017-11-03 17:47:29 {"nonce_str":"1a4bebe27571c2c24e427eebd9c25e8d","out_transaction_id":"2017110321001004915284571942","buyer_id":"2088322016652915","trade_type":"MICROPAY","result_code":"SUCCESS","out_trade_no":"2017110317471550736","total_fee":"2530","openid":"137****6154","mch_id":"100005500184","transaction_id":"3100005500184150970243500000003","time_end":[],"attach":[],"sign":"1CE438B2BE814C38369620C0017E6DBB","return_code":"SUCCESS","trade_state":"WAIT_BUYER_PAY"}
2017-11-03 17:47:33 {"mch_id":"100005500184","buyer_id":"2088322016652915","sign":"97F0A4D96FF7DC7B2CF384C2AAB7D12D","nonce_str":"39632afb126dd3f9c382e22b81e3a326","return_code":"SUCCESS","trade_state":"WAIT_BUYER_PAY","out_transaction_id":"2017110321001004915284571942","total_fee":"2530","trade_type":"MICROPAY","attach":[],"out_trade_no":"2017110317471550736","transaction_id":"3100005500184150970243500000003","result_code":"SUCCESS","openid":"137****6154","time_end":[]}
2017-11-03 17:47:37 {"attach":[],"openid":"137****6154","buyer_id":"2088322016652915","sign":"811E74DBCA7768215220DC1D72369CEC","result_code":"SUCCESS","trade_state":"WAIT_BUYER_PAY","transaction_id":"3100005500184150970243500000003","total_fee":"2530","mch_id":"100005500184","out_trade_no":"2017110317471550736","nonce_str":"012c3e6c043f35be05265f6cb4633249","return_code":"SUCCESS","out_transaction_id":"2017110321001004915284571942","trade_type":"MICROPAY","time_end":[]}
2017-11-03 17:47:58 {"time_end":[],"nonce_str":"4e698d7c2ef563284ec0f3f6314862d9","out_transaction_id":"2017110321001004915201106335","transaction_id":"3100005500184150970247200000004","buyer_id":"2088322016652915","trade_type":"MICROPAY","attach":[],"sign":"AC5C88619BD182F20CE95B0310A85555","return_code":"SUCCESS","out_trade_no":"2017110317475298687","trade_state":"WAIT_BUYER_PAY","total_fee":"2530","openid":"137****6154","result_code":"SUCCESS","mch_id":"100005500184"}
2017-11-03 17:48:02 {"result_code":"SUCCESS","mch_id":"100005500184","sign":"06D2BACC7C303093845AB396A93499A9","total_fee":"2530","return_code":"SUCCESS","out_trade_no":"2017110317475298687","trade_state":"WAIT_BUYER_PAY","nonce_str":"33f950ff97d795e33772323d84091a8a","transaction_id":"3100005500184150970247200000004","attach":[],"time_end":[],"out_transaction_id":"2017110321001004915201106335","openid":"137****6154","buyer_id":"2088322016652915","trade_type":"MICROPAY"}
2017-11-03 17:48:06 {"total_fee":"2530","openid":"137****6154","mch_id":"100005500184","nonce_str":"19530c73216094fe047b09b90560974c","transaction_id":"3100005500184150970247200000004","out_trade_no":"2017110317475298687","trade_state":"WAIT_BUYER_PAY","sign":"C4DB7BDE470EEE0847ED17EF36D90A0C","out_transaction_id":"2017110321001004915201106335","trade_type":"MICROPAY","time_end":[],"attach":[],"result_code":"SUCCESS","buyer_id":"2088322016652915","return_code":"SUCCESS"}
2017-11-03 17:48:10 {"openid":"137****6154","time_end":[],"return_code":"SUCCESS","total_fee":"2530","trade_state":"WAIT_BUYER_PAY","attach":[],"sign":"C1953130AAF9F028C567A40BF5399B8B","out_trade_no":"2017110317475298687","buyer_id":"2088322016652915","nonce_str":"856426689441ebd44f283f19d6fa8e27","out_transaction_id":"2017110321001004915201106335","trade_type":"MICROPAY","mch_id":"100005500184","result_code":"SUCCESS","transaction_id":"3100005500184150970247200000004"}
